CatNo,i1,i2,i3,i4,i5,i6,i7,i8,i9,o1,o2,o3
1249R,1,1,2,1,3,0,0,1,2,1,1,1
1250,1,2,1,3,2,1,0,1,2,1,3,2
1252,1,1,2,1,3,1,1,1,2,1,1,1
126R,1,3,3,1,3,1,1,0,1,1,3,2
1277,1,1,2,1,2,3,0,0,2,1,1,2
1280,1,1,3,3,3,0,0,1,2,1,1,2
1281,1,1,3,2,3,0,0,0,3,1,1,2
1283R,1,3,2,1,2,3,0,0,2,1,3,2
1284R,1,1,3,2,3,0,0,0,1,1,1,2
1285,1,1,3,3,2,0,0,0,2,1,1,2
1287,1,1,3,2,3,0,0,1,2,1,1,1
1288R,1,3,2,1,3,0,0,0,2,1,1,1
1289R,1,1,3,3,3,0,0,1,0,1,1,1
1290,3,1,3,1,3,2,1,1,3,1,1,1
1291,2,4,2,1,2,0,0,0,0,1,1,2
1292,1,1,2,2,2,1,0,0,1,1,1,1
1293,1,1,3,3,3,0,0,1,0,1,1,2
1294R,1,1,2,1,3,3,1,1,2,1,1,2
1295,3,1,1,1,3,2,0,0,1,1,3,2
1296R,1,3,2,1,1,4,0,0,2,1,3,1
1297,3,5,2,1,1,4,0,0,1,1,3,2
1298,1,1,2,3,2,1,0,1,2,1,1,1
1299R,3,2,1,3,1,3,1,1,2,1,1,2
12R,2,4,2,3,1,2,1,1,2,1,3,1
1300,1,1,1,1,2,0,1,0,2,1,1,2
1301,,5,2,3,1,3,0,0,2,1,3,2
1303,2,2,3,1,3,0,0,0,2,1,1,2
132R,1,1,3,1,2,0,0,1,1,1,1,1
133R,1,4,1,1,2,4,1,0,2,1,3,1
137R,2,3,1,2,1,1,1,0,2,1,3,2
138,3,2,3,2,3,,0,1,1,1,1,2
139R,3,3,1,1,2,3,0,0,1,1,3,1
140RR,1,1,3,1,2,4,0,1,2,1,1,1
144R,2,3,2,1,1,3,0,0,1,1,3,1
15RRR,1,3,2,3,1,4,1,0,3,1,3,1
169R,3,3,2,1,1,4,0,0,2,1,3,1
170R,1,2,1,2,2,4,0,0,2,1,3,1
17R,3,5,1,1,2,4,1,0,3,1,3,1
197R,3,3,2,2,2,0,0,0,1,1,3,1
1R,3,5,2,1,1,3,0,0,1,1,3,1
203,1,1,2,1,3,1,0,0,2,1,1,2
204,1,1,2,2,2,2,0,1,2,1,1,2
206R,1,3,2,1,2,3,0,0,2,1,3,1
207,3,2,1,1,2,3,0,0,1,1,3,2
208,1,1,1,2,2,0,0,1,3,1,1,1
20R,1,3,3,2,3,0,1,0,1,1,3,1
225R,1,4,1,3,2,3,1,0,2,1,3,1
230,1,3,2,2,3,3,0,0,1,1,3,2
234,2,3,2,2,2,4,1,0,2,1,3,2
236R,3,4,2,2,1,4,0,1,1,1,3,1
238R,2,3,1,1,2,1,0,0,2,1,3,1
240R,3,5,2,1,1,4,0,0,3,1,3,1
243R,3,3,2,3,2,2,0,0,2,1,3,1
244,1,1,3,2,3,0,1,1,1,1,1,2
245,,2,1,2,2,4,0,1,3,1,3,2
247R,3,5,2,1,1,4,1,0,3,1,3,1
249R,3,5,1,1,2,3,1,1,1,1,3,1
259,1,4,2,3,3,3,1,0,1,1,3,2
261,3,3,1,2,1,3,1,1,0,1,3,2
262,3,2,1,1,1,2,0,0,2,1,3,2
265,1,1,3,2,3,0,0,0,1,1,1,2
271,1,3,3,1,3,1,1,1,1,1,3,2
275RR,1,3,2,1,1,4,0,1,1,1,3,1
276R,1,1,3,2,3,0,0,0,3,1,1,1
279,3,3,3,1,3,1,0,0,1,1,3,2
280,1,1,2,1,2,0,0,0,1,1,1,1
287,1,3,2,1,1,3,0,0,2,1,3,2
289R,1,4,2,3,1,2,1,0,1,1,3,1
290R,3,3,2,1,1,3,0,0,1,1,1,2
292,1,1,2,2,3,0,0,0,1,1,1,2
293R,1,3,1,1,2,1,1,0,1,1,3,1
294R,3,1,3,3,3,0,0,0,2,1,1,1
295R,2,4,2,1,2,2,0,1,3,1,3,1
29R,3,5,2,3,1,2,1,0,2,1,3,1
300R,3,2,1,2,1,1,1,0,2,1,3,1
302R,2,2,2,3,3,0,0,0,2,1,1,2
303R,3,5,2,1,2,2,0,0,3,1,3,2
306R,1,3,1,1,1,4,0,0,3,1,3,1
312R,1,3,2,1,1,4,1,1,1,1,3,1
318,3,3,1,2,2,2,1,0,2,1,3,2
319R,2,4,2,1,2,1,1,0,2,1,3,2
320,1,2,1,1,1,3,1,0,1,1,3,2
322,1,2,3,1,2,0,1,1,1,1,1,2
323,1,1,3,1,3,0,0,1,1,1,1,1
329,1,1,1,1,2,3,0,1,1,1,1,2
330,1,1,2,1,2,0,1,1,2,1,1,1
331,1,1,1,3,2,2,1,1,3,1,1,2
333,2,2,1,3,1,2,1,1,0,1,3,2
334R,1,1,1,1,2,4,0,1,1,1,1,1
335,3,2,1,1,2,0,0,0,1,1,3,2
342,1,3,2,1,1,1,0,0,1,1,3,2
343,3,2,1,1,2,1,0,1,2,1,3,2
345,1,1,3,1,3,0,1,1,2,1,1,2
346RR,2,4,1,2,1,1,1,0,1,1,3,1
348R,1,1,3,1,3,0,1,1,1,1,1,1
351R,3,3,1,2,2,2,0,0,1,1,3,1
357R,1,1,3,1,3,0,0,1,3,1,1,1
358R,1,1,1,1,3,1,0,1,1,1,1,2
359R,1,3,1,2,2,4,0,1,3,1,3,1
360,1,1,3,1,3,1,0,0,1,1,1,1
